Data prepared by Tyler R. & Dave F.,,,,
Data corresponds to inputs from 54 balancing authorities summed together post anomaly identification and imputation.,,,,
This provides coverage over all of CONUS.,,,,
The two excluded balancing authorities (SEC and OVEC) account for less than 0.1% of the CONUS total.,,,,
This file corresponds to an updated data cleaning round with one additional year of data included compared to that found in the final version of data published in,,,,
Scientific Data: https://zenodo.org/record/3690240,,,,
Data was querried from the EIA database on 28 Sept 2020,,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,demand (MW)
2019,1,24,13,747174.883
2019,1,24,14,807963.6521
2019,1,24,15,801053.4553
2019,1,24,16,784716.2879
2019,1,24,17,778924.1811
2019,1,24,18,788694.7048
2019,1,24,19,799090.188
2019,1,24,20,795858.4627
2019,1,24,21,807358.1178
2019,1,24,22,858687.5591
2019,1,24,23,938740.4814
2019,1,24,24,1033506.781
2019,1,25,1,987997.8352
2019,1,25,2,872843.3292
2019,1,25,3,813186.0647
2019,1,25,4,742159.2909
2019,1,25,5,676185.3722
2019,1,25,6,628465.5771
2019,1,25,7,595743.025
2019,1,25,8,577684.1251
2019,1,25,9,569665.5064
2019,1,25,10,576034.8166
2019,1,25,11,595788.2091
2019,1,25,12,659305.2589
2019,1,25,13,753072.6654
2019,1,25,14,815322.7427
2019,1,25,15,808337.2379
2019,1,25,16,792650.4076
2019,1,25,17,789693.7569
2019,1,25,18,799075.8164
2019,1,25,19,809216.5325
2019,1,25,20,806494.3765
2019,1,25,21,818516.2102
2019,1,25,22,870111.9452
2019,1,25,23,949145.192
2019,1,25,24,1040163.576
2019,1,26,1,994197.6431
2019,1,26,2,878845.0902
2019,1,26,3,817884.9441
2019,1,26,4,742983.8808
2019,1,26,5,675399.8611
2019,1,26,6,626201.0044
2019,1,26,7,591136.7425
2019,1,26,8,570491.7905
2019,1,26,9,561332.9673
2019,1,26,10,564609.4259
2019,1,26,11,581772.8083
2019,1,26,12,642007.1667
2019,1,26,13,732549.2714
2019,1,26,14,796135.2497
2019,1,26,15,795015.4567
2019,1,26,16,784421.4107
2019,1,26,17,783774.3764
2019,1,26,18,792906.95
2019,1,26,19,801836.7793
2019,1,26,20,799441.1308
