Data prepared by Tyler R. & Dave F.,,,,
Data corresponds to inputs from 54 balancing authorities summed together post anomaly identification and imputation.,,,,
This provides coverage over all of CONUS.,,,,
The two excluded balancing authorities (SEC and OVEC) account for less than 0.1% of the CONUS total.,,,,
This file corresponds to an updated data cleaning round with one additional year of data included compared to that found in the final version of data published in,,,,
Scientific Data: https://zenodo.org/record/3690240,,,,
Data was querried from the EIA database on 28 Sept 2020,,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,demand (MW)
2019,1,16,15,2.71416E+11
2019,1,16,16,2.62913E+11
2019,1,16,17,2.50545E+11
2019,1,16,18,2.39961E+11
2019,1,16,19,2.3178E+11
2019,1,16,20,2.25612E+11
2019,1,16,21,2.21586E+11
2019,1,16,22,2.24082E+11
2019,1,16,23,2.36625E+11
2019,1,16,24,2.5361E+11
2019,1,17,1,2.62426E+11
2019,1,17,2,2.63278E+11
2019,1,17,3,2.52122E+11
2019,1,17,4,2.33199E+11
2019,1,17,5,2.13342E+11
2019,1,17,6,1.97615E+11
2019,1,17,7,1.86769E+11
2019,1,17,8,1.80605E+11
2019,1,17,9,1.78453E+11
2019,1,17,10,1.81752E+11
2019,1,17,11,1.93816E+11
2019,1,17,12,2.22844E+11
2019,1,17,13,2.51047E+11
2019,1,17,14,2.59271E+11
2019,1,17,15,2.55975E+11
2019,1,17,16,2.49497E+11
2019,1,17,17,2.41081E+11
2019,1,17,18,2.33898E+11
2019,1,17,19,2.29633E+11
2019,1,17,20,2.25633E+11
2019,1,17,21,2.2325E+11
2019,1,17,22,2.24649E+11
2019,1,17,23,2.36411E+11
2019,1,17,24,2.48252E+11
2019,1,18,1,2.53362E+11
2019,1,18,2,2.51147E+11
2019,1,18,3,2.3875E+11
2019,1,18,4,2.19086E+11
2019,1,18,5,1.99864E+11
2019,1,18,6,1.82995E+11
2019,1,18,7,1.71207E+11
2019,1,18,8,1.64454E+11
2019,1,18,9,1.62087E+11
2019,1,18,10,1.64227E+11
2019,1,18,11,1.73936E+11
2019,1,18,12,1.97518E+11
2019,1,18,13,2.23061E+11
2019,1,18,14,2.34243E+11
2019,1,18,15,2.3751E+11
2019,1,18,16,2.3596E+11
2019,1,18,17,2.29289E+11
2019,1,18,18,2.22151E+11
2019,1,18,19,2.15862E+11
2019,1,18,20,2.11458E+11
2019,1,18,21,2.08125E+11
2019,1,18,22,2.08558E+11
2019,1,18,23,2.15909E+11
2019,1,18,24,2.26903E+11
2019,1,19,1,2.29321E+11
2019,1,19,2,2.27104E+11
2019,1,19,3,2.17195E+11
2019,1,19,4,2.03319E+11
2019,1,19,5,1.87917E+11
2019,1,19,6,1.74251E+11
2019,1,19,7,1.63147E+11
2019,1,19,8,1.56505E+11
2019,1,19,9,1.53363E+11
2019,1,19,10,1.52886E+11
2019,1,19,11,1.56345E+11
2019,1,19,12,1.64735E+11
2019,1,19,13,1.7762E+11
2019,1,19,14,1.92622E+11
2019,1,19,15,2.05806E+11
2019,1,19,16,2.13354E+11
2019,1,19,17,2.14829E+11
2019,1,19,18,2.1256E+11
2019,1,19,19,2.08682E+11
2019,1,19,20,2.04508E+11
2019,1,19,21,2.02132E+11
2019,1,19,22,2.03615E+11
2019,1,19,23,2.13045E+11
2019,1,19,24,2.24868E+11
2019,1,20,1,2.31806E+11
2019,1,20,2,2.3105E+11
